"","ADDRESSS","name","lat","long","accuracy","formatted_address"
"176","244 WEST   14 STREET 10011","UP AND DOWN",40.739237,-74.0019653,"premise","244 W 14th St, New York, NY 10011, USA"
"177","244 WEST   48 STREET 10036","PONGSRI THAI RESTAURANT",40.7606585,-73.9865665,"premise","244 W 48th St, New York, NY 10036, USA"
"178","244 WEST   56 STREET 10019","JOE G  RESTAURANT (DA VINCI HOTEL)",40.7656514,-73.9829954,"premise","244 W 56th St, New York, NY 10019, USA"
"179","2440 AMSTERDAM AVE 10033","EL FOGON DE ABUELA",40.8485799,-73.93098,"premise","2440 Amsterdam Ave, New York, NY 10033, USA"
"180","2440 EASTCHESTER ROAD 10469","VILLA MARIA PIZZERIA",40.862238,-73.8430448,"street_address","2440 Eastchester Rd, Bronx, NY 10469, USA"
"181","2441 BROADWAY 10024","CITY DINER",40.7911059,-73.9748245,"street_address","2441 Broadway, New York, NY 10024, USA"
"182","24410 FRANCIS LEWIS BOULEVARD 11422","MARIO'S PIZZA",40.6649145,-73.7352816,"premise","244-10 Francis Lewis Blvd, Jamaica, NY 11422, USA"
"183","24410 MERRICK BLVD 11422","MCDONALD'S",40.6739164,-73.728981,"premise","244-10 Merrick Blvd, Jamaica, NY 11422, USA"
"184","2442 BROADWAY 10024","BY THE WAY BAKERY",40.7908661,-73.9742186,"street_address","2442 Broadway, New York, NY 10024, USA"
"185","2442 STEINWAY ST 11103","MAYA CUISINE",40.768194,-73.91179,"street_address","24-42 Steinway St, Long Island City, NY 11103, USA"
"186","244246 WEST 14 STREET 10011","SUBWAY",40.7391517,-74.0011037,"route","W 14th St, New York, NY 10011, USA"
"187","24435 MERRICK BOULEVARD 11422","J & S PIZZA",40.6742234,-73.7277371,"street_address","24435 Merrick Blvd, Rosedale, NY 11422, USA"
